id,side,reason,regime,entry_time,entry_price,stop_price,target_price,volume,exit_time,exit_price,exit_reason,pnl
614111fa-b78d-469d-92c2-8fc0648e348c,BUY,breakout_continuation_above_vah,TREND,2026-07-10 00:30:00+00:00,7529.4,7523.063742215199,7569.2,27.37,2026-07-10 07:50:00+00:00,7523.063742215199,stop,-149.99263063824424
14cbc7a6-e611-47e0-89b7-da404f26ee5a,BUY,breakout_continuation_above_vah,BREAKOUT,2026-07-10 07:55:00+00:00,7524.9,7523.305570930106,7564.7,100.0,2026-07-10 08:00:00+00:00,7523.305570930106,stop,-137.90102388066705
9d6d1f0d-1936-4380-8138-86d52dcd8dae,SELL,range_fade_vah,RANGE,2026-07-10 08:00:00+00:00,7524.0,7525.3269698506165,7491.8,100.0,2026-07-10 08:05:00+00:00,7525.3269698506165,stop,-114.76866830520629
e667ce0f-8d8d-47f4-b461-d09918b6c3a2,BUY,breakout_continuation_above_vah,BREAKOUT,2026-07-10 08:05:00+00:00,7528.9,7523.178527995857,7568.7,29.09,2026-07-10 09:00:00+00:00,7523.178527995857,stop,-143.950701391854
13a8001d-335e-4653-bdb4-8c1855071e6a,BUY,breakout_continuation_above_vah,TREND,2026-07-12 22:00:00+00:00,7558.4,7549.213383431853,7583.2,17.84,2026-07-12 22:10:00+00:00,7549.213383431853,stop,-141.7466249660607
25618b29-16f7-4775-87c9-944f03e35e1c,SELL,range_fade_vah,RANGE,2026-07-12 22:20:00+00:00,7550.3,7552.900636604613,7533.4,62.09,2026-07-12 22:30:00+00:00,7552.900636604613,stop,-139.6572923380674
5601d1d3-e451-49c2-b82c-070eaf3e247a,BUY,breakout_continuation_above_vah,BREAKOUT,2026-07-12 22:30:00+00:00,7554.2,7549.019604152144,7579.0,30.7,2026-07-12 23:45:00+00:00,7549.019604152144,stop,-137.5509546581926
88e6def4-314a-42e6-9f38-820eab609544,BUY,breakout_continuation_above_vah,TREND,2026-07-12 23:50:00+00:00,7552.4,7549.545243556973,7577.2,54.88,2026-07-13 00:50:00+00:00,7549.545243556973,stop,-135.50192072421308
b482f340-98bb-4cd7-883d-374af23b6dfe,SELL,breakout_continuation_below_val,TREND,2026-07-13 22:00:00+00:00,7514.1,7529.986542026308,7484.3,9.71,2026-07-14 06:15:00+00:00,7529.986542026308,stop,-133.41691453003344
599d58cf-5823-48c3-9a91-1010768419fc,SELL,breakout_continuation_below_val,TREND,2026-07-14 06:20:00+00:00,7526.2,7529.473767949201,7496.4,46.43,2026-07-14 12:30:00+00:00,7529.473767949201,stop,-131.4646117144496
f584f59e-1d4c-439f-92d5-d75e12e95d23,SELL,ny_open_gap_fill,BREAKOUT,2026-07-14 13:30:00+00:00,7522.2,7526.339923647832,7510.2,36.17,2026-07-14 13:35:00+00:00,7526.339923647832,stop,-129.5099474428548
55db2f4c-49a2-40c7-8fd4-55c9f20b33a1,SELL,ny_open_gap_fill,RANGE,2026-07-14 13:35:00+00:00,7537.7,7544.625,7510.2,21.29,2026-07-14 14:30:00+00:00,7544.625,stop,-127.51395789850115
719236c9-0b51-47de-bb10-747c7465d41e,BUY,breakout_continuation_above_vah,TREND,2026-07-14 23:45:00+00:00,7559.5,7537.32067430785,7604.3,6.55,2026-07-15 16:15:00+00:00,7537.32067430785,stop,-125.64694257601064
